NewID,OldID,Group,Family,Genus,Species,Life form,Leaf form,Site,Ynew,Xnew,Hmax,Hact,Ks,Kl,P50,Ppd,Pmd,TLP,AlAs,WD,Vdia,VD,VLmax,ALT,MAT,MAP,PET,AI,Soiltype,Ecotype,Biome,Note_Biome,
s0001,11,Gym,Cupressaceae,Juniperus,Juniperus virginiana,T,E,s276,44.4667,-73.2,27,,,,-4.7425,,,,,,,,,85,6.8,880,886,0.9808,Luvisol,Eastern Great Lakes lowland forests,TMS,,
s0002,16,Ang,Sapindaceae,Acer,Acer grandidentatum,T,D,s217,40.05,-111.7833,15,,,,-4,,,,,,,,2.02,1385,10.1,394,1217,0.3237,Phaeozem,Great Basin shrub steppe,DES,,
s0003,18,Ang,Sapindaceae,Acer,Acer rubrum,T,D,s191,35.9667,-79.1333,27,,,,-3.3,,,,,,,,,188,14.5,1166,1268,0.9195,Acrisol,Southeastern mixed forests,TMR,,
s0004,19,Ang,Apocynaceae,Nerium,Nerium oleander,S,E,s151,34.0417,-118.7083,6,,,,-1.7,,,,,,35,,21,292,16.4,480,1230,0.3894,Regosol,California coastal sage and chaparral,WDS,,
s0005,20,Ang,Rosaceae,Prunus,Prunus virginiana,T,D,s217,40.05,-111.7833,4.9,,,,-3.8,,,,,,,,,1385,10.1,394,1217,0.3237,Phaeozem,Great Basin shrub steppe,DES,,
s0006,22,Gym,Pinaceae,Abies,Abies concolor,T,E,s236,40.8,-111.7667,60,,,,-4.8315,,,,,,,,,2150,6.3,661,1033,0.6447,Phaeozem,Wasatch and Uinta montane forests,TMS,,
s0008,29,Ang,Betulaceae,Betula,Betula occidentalis,T,D,s236,40.8,-111.7667,12,12,,,-1.434889,-0.25,-1.3,,,,,,,2150,6.3,661,1033,0.6447,Phaeozem,Wasatch and Uinta montane forests,TMS,,
s0009,34,Gym,Pinaceae,Abies,Abies lasiocarpa,T,E,s225,40.6038,-111.5821,50,,0.56,,-3.5055,,,,,0.473,14.50737,3648,,2878,2.7,956,792,1.2058,Phaeozem,Wasatch and Uinta montane forests,TMS,,
s0010,40,Gym,Cupressaceae,Juniperus,Juniperus scopulorum,T,E,s229,40.75,-111.6,6,,,,-6.763,,,,,,,,,2296,5.6,631,1020,0.6225,Phaeozem,Wasatch and Uinta montane forests,TMS,,
s0011,42,Ang,Salicaceae,Populus,Populus tremuloides,T,D,s225,40.6038,-111.5821,36.5,,,,-1.5294,,-2.01,,,,,,,2878,2.7,956,792,1.2058,Phaeozem,Wasatch and Uinta montane forests,TMS,,
s0012,46,Ang,Fagaceae,Quercus,Quercus gambelii,T,D,s236,40.8,-111.7667,15,,,,,,,,,,,,,2150,6.3,661,1033,0.6447,Phaeozem,Wasatch and Uinta montane forests,TMS,,
s0013,48,Ang,Sapindaceae,Acer,Acer saccharum,T,D,s277,44.5,-73.1167,35,,,,-2.575333,,,,,,70,,,112,6.9,891,881,1.0113,Luvisol,Eastern Great Lakes lowland forests,TMS,,
s0014,50,Gym,Pinaceae,Abies,Abies balsamea,T,E,s277,44.5,-73.1167,20,,,,-2.072333,,,,,,,,,112,6.9,891,881,1.0113,Luvisol,Eastern Great Lakes lowland forests,TMS,,
s0015,57,Gym,Pinaceae,Picea,Picea rubens,T,E,s273,44.3167,-72.75,46,,,,-2.42375,,,,,,,,,265,6.4,961,884,1.0984,Podzol,New England-Acadian forests,TMS,,
s0016,62,Ang,Betulaceae,Alnus,Alnus crispa,T,D,s348,65.1,-146.7667,12,,,,-1.447,,,,,,,,,508,-5.2,299,505,0.592,Gleysol,Interior Yukon-Alaska alpine tundra,BOR,,
s0017,64,Ang,Betulaceae,Alnus,Alnus incana,T,D,s236,40.8,-111.7667,21.66667,21,,,-1.437667,,,,,,,,,2150,6.3,661,1033,0.6447,Phaeozem,Wasatch and Uinta montane forests,TMS,,
s0018,68,Ang,Betulaceae,Betula,Betula papyrifera,T,D,s348,65.1,-146.7667,18,,,,-1.9665,,,,,,,,,508,-5.2,299,505,0.592,Gleysol,Interior Yukon-Alaska alpine tundra,BOR,,
s0019,70,Gym,Pinaceae,Picea,Picea glauca,T,E,s348,65.1,-146.7667,40,,,,-3.813,,,,,,,,,508,-5.2,299,505,0.592,Gleysol,Interior Yukon-Alaska alpine tundra,BOR,,
s0020,74,Ang,Salicaceae,Populus,Populus tremuloides,T,D,s348,65.1,-146.7667,36.5,,,,-1.274,,,,,0.4063212,,,,508,-5.2,299,505,0.592,Gleysol,Interior Yukon-Alaska alpine tundra,BOR,,
s0021,76,Ang,Chloranthaceae,Ascarina,Ascarina lucida,T,E,s009,-42.7508,171.0578,6,,,,-1.869,,,,,,,,,71,11.9,3171,827,3.9238,Cambisol,Westland temperate forests,TMR,oceanic climate,
s0022,77,Ang,Chloranthaceae,Ascarina,Ascarina rubricaulis,T,D,s054,-22.047,166.469,5,,,,-2.797,,,,,,,,,553,18.3,2181,1141,1.9018,Cambisol,New Caledonia rain forests,TRR,,
