species_name,Fruittype,Growthform,Tropic,Temperate,Subtropic,Genus,Family,Order
Brasenia_schreberi,fleshy,herb,Tropic,Absence,Absence,Brasenia,Cabombaceae,Nymphaeales
Illicium_wardii,dry,wood,Absence,Temperate,Absence,Illicium,Schisandraceae,Austrobaileyales
Illicium_burmanicum,dry,wood,Absence,Temperate,Absence,Illicium,Schisandraceae,Austrobaileyales
Illicium_simonsii,dry,wood,Absence,Temperate,Subtropic,Illicium,Schisandraceae,Austrobaileyales
Illicium_macranthum,dry,wood,Absence,Temperate,Subtropic,Illicium,Schisandraceae,Austrobaileyales
Illicium_modestum,dry,wood,Tropic,Absence,Absence,Illicium,Schisandraceae,Austrobaileyales
Illicium_merrillianum,dry,wood,Tropic,Temperate,Absence,Illicium,Schisandraceae,Austrobaileyales
Illicium_micranthum,dry,wood,Tropic,Temperate,Subtropic,Illicium,Schisandraceae,Austrobaileyales
Schisandra_sphaerandra,fleshy,wood,Absence,Temperate,Absence,Schisandra,Schisandraceae,Austrobaileyales
Schisandra_elongata,fleshy,wood,Absence,Temperate,Absence,Schisandra,Schisandraceae,Austrobaileyales
Schisandra_tomentella,fleshy,wood,Absence,Absence,Subtropic,Schisandra,Schisandraceae,Austrobaileyales
Schisandra_neglecta,fleshy,wood,Tropic,Temperate,Subtropic,Schisandra,Schisandraceae,Austrobaileyales
Kadsura_coccinea,fleshy,wood,Tropic,Absence,Subtropic,Kadsura,Schisandraceae,Austrobaileyales
Schisandra_propinqua,fleshy,wood,Absence,Temperate,Subtropic,Schisandra,Schisandraceae,Austrobaileyales
Schisandra_plena,fleshy,wood,Tropic,Absence,Absence,Schisandra,Schisandraceae,Austrobaileyales
Kadsura_longipedunculata,fleshy,wood,Tropic,Absence,Subtropic,Kadsura,Schisandraceae,Austrobaileyales
Kadsura_japonica,fleshy,wood,Absence,Absence,Subtropic,Kadsura,Schisandraceae,Austrobaileyales
Kadsura_heteroclita,fleshy,wood,Tropic,Temperate,Subtropic,Kadsura,Schisandraceae,Austrobaileyales
Schisandra_lancifolia,fleshy,wood,Absence,Temperate,Absence,Schisandra,Schisandraceae,Austrobaileyales
Schisandra_henryi,fleshy,wood,Tropic,Temperate,Subtropic,Schisandra,Schisandraceae,Austrobaileyales
Schisandra_rubriflora,fleshy,wood,Absence,Temperate,Subtropic,Schisandra,Schisandraceae,Austrobaileyales
Schisandra_grandiflora,fleshy,wood,Absence,Temperate,Absence,Schisandra,Schisandraceae,Austrobaileyales
Schisandra_sphenanthera,fleshy,wood,Absence,Temperate,Subtropic,Schisandra,Schisandraceae,Austrobaileyales
Sarcandra_glabra,fleshy,wood,Tropic,Absence,Subtropic,Sarcandra,Chloranthaceae,Chloranthales
Chloranthus_elatior,fleshy,wood,Tropic,Absence,Subtropic,Chloranthus,Chloranthaceae,Chloranthales
Chloranthus_holostegius,fleshy,herb,Tropic,Absence,Subtropic,Chloranthus,Chloranthaceae,Chloranthales
Ceratophyllum_demersum,fleshy,herb,Tropic,Temperate,Subtropic,Ceratophyllum,Ceratophyllaceae,Ceratophyllales
Acorus_calamus,fleshy,herb,Tropic,Temperate,Subtropic,Acorus,Acoraceae,Acorales
Acorus_gramineus,fleshy,herb,Tropic,Temperate,Subtropic,Acorus,Acoraceae,Acorales
Potamogeton_maackianus,fleshy,herb,Absence,Temperate,Absence,Potamogeton,Potamogetonaceae,Alismatales
Potamogeton_octandrus,fleshy,herb,Tropic,Absence,Absence,Potamogeton,Potamogetonaceae,Alismatales
Potamogeton_natans,fleshy,herb,Absence,Temperate,Absence,Potamogeton,Potamogetonaceae,Alismatales
Potamogeton_oxyphyllus,fleshy,herb,Tropic,Absence,Absence,Potamogeton,Potamogetonaceae,Alismatales
Potamogeton_pusillus,fleshy,herb,Tropic,Temperate,Absence,Potamogeton,Potamogetonaceae,Alismatales
Potamogeton_obtusifolius,fleshy,herb,Absence,Temperate,Absence,Potamogeton,Potamogetonaceae,Alismatales
Potamogeton_crispus,fleshy,herb,Tropic,Temperate,Subtropic,Potamogeton,Potamogetonaceae,Alismatales
Potamogeton_nodosus,fleshy,herb,Absence,Temperate,Subtropic,Potamogeton,Potamogetonaceae,Alismatales
Potamogeton_distinctus,fleshy,herb,Absence,Temperate,Absence,Potamogeton,Potamogetonaceae,Alismatales
Hydrocharis_dubia,dry,herb,Tropic,Absence,Absence,Hydrocharis,Hydrocharitaceae,Alismatales
Blyxa_japonica,dry,herb,Tropic,Temperate,Absence,Blyxa,Hydrocharitaceae,Alismatales
Blyxa_aubertii,dry,herb,Tropic,Temperate,Absence,Blyxa,Hydrocharitaceae,Alismatales
Ottelia_alismoides,dry,herb,Tropic,Absence,Subtropic,Ottelia,Hydrocharitaceae,Alismatales
Ottelia_acuminata,fleshy,herb,Tropic,Temperate,Absence,Ottelia,Hydrocharitaceae,Alismatales
Najas_graminea,dry,herb,Tropic,Absence,Absence,Najas,Hydrocharitaceae,Alismatales
Najas_marina,dry,herb,Absence,Temperate,Absence,Najas,Hydrocharitaceae,Alismatales
Najas_minor,dry,herb,Absence,Temperate,Absence,Najas,Hydrocharitaceae,Alismatales
Hydrilla_verticillata,dry,herb,Tropic,Temperate,Absence,Hydrilla,Hydrocharitaceae,Alismatales
Nechamandra_alternifolia,dry,herb,Tropic,Absence,Absence,Nechamandra,Hydrocharitaceae,Alismatales
Vallisneria_natans,dry,herb,Absence,Temperate,Absence,Vallisneria,Hydrocharitaceae,Alismatales
Sagittaria_tengtsungensis,dry,herb,Absence,Temperate,Absence,Sagittaria,Alismataceae,Alismatales
Butomopsis_latifolia,dry,herb,Tropic,Absence,Absence,Butomopsis,Alismataceae,Alismatales
Limnocharis_flava,dry,herb,Tropic,Absence,Absence,Limnocharis,Alismataceae,Alismatales
Caldesia_parnassifolia,dry,herb,Tropic,Absence,Absence,Caldesia,Alismataceae,Alismatales
Sagittaria_pygmaea,dry,herb,Tropic,Absence,Absence,Sagittaria,Alismataceae,Alismatales
Sagittaria_trifolia,dry,herb,Tropic,Temperate,Subtropic,Sagittaria,Alismataceae,Alismatales
Tofieldia_divergens,dry,herb,Absence,Temperate,Subtropic,Tofieldia,Tofieldiaceae,Alismatales
Pothos_chinensis,fleshy,herb,Tropic,Temperate,Subtropic,Pothos,Araceae,Alismatales
Pothos_scandens,fleshy,herb,Tropic,Absence,Absence,Pothos,Araceae,Alismatales
Homalomena_occulta,fleshy,herb,Tropic,Absence,Absence,Homalomena,Araceae,Alismatales
Spirodela_polyrrhiza,fleshy,herb,Tropic,Temperate,Absence,Spirodela,Araceae,Alismatales
Lemna_aequinoctialis,fleshy,herb,Tropic,Absence,Absence,Lemna,Araceae,Alismatales
Lemna_minor,fleshy,herb,Tropic,Temperate,Subtropic,Lemna,Araceae,Alismatales
Lemna_trisulca,fleshy,herb,Absence,Temperate,Absence,Lemna,Araceae,Alismatales
Wolffia_arrhiza,fleshy,herb,Tropic,Absence,Absence,Wolffia,Araceae,Alismatales
Rhaphidophora_dulongensis,fleshy,herb,Absence,Temperate,Absence,Rhaphidophora,Araceae,Alismatales
Rhaphidophora_peepla,fleshy,herb,Tropic,Temperate,Absence,Rhaphidophora,Araceae,Alismatales
Rhaphidophora_megaphylla,fleshy,herb,Tropic,Absence,Absence,Rhaphidophora,Araceae,Alismatales
Rhaphidophora_luchunensis,fleshy,herb,Tropic,Absence,Subtropic,Rhaphidophora,Araceae,Alismatales
Rhaphidophora_lancifolia,fleshy,herb,Tropic,Temperate,Subtropic,Rhaphidophora,Araceae,Alismatales
Rhaphidophora_hookeri,fleshy,herb,Tropic,Temperate,Absence,Rhaphidophora,Araceae,Alismatales
Rhaphidophora_hongkongensis,fleshy,herb,Tropic,Temperate,Absence,Rhaphidophora,Araceae,Alismatales
Rhaphidophora_crassicaulis,fleshy,herb,Tropic,Absence,Absence,Rhaphidophora,Araceae,Alismatales
Rhaphidophora_decursiva,fleshy,herb,Tropic,Temperate,Subtropic,Rhaphidophora,Araceae,Alismatales
Lasia_spinosa,fleshy,herb,Tropic,Absence,Subtropic,Lasia,Leptodontaceae,NA
Pistia_stratiotes,fleshy,herb,Tropic,Absence,Absence,Pistia,Araceae,Alismatales
Colocasia_menglaensis,fleshy,herb,Tropic,Absence,Absence,Colocasia,Araceae,Alismatales
Colocasia_gigantea,fleshy,herb,Tropic,Absence,Absence,Colocasia,Araceae,Alismatales
Colocasia_affinis,fleshy,herb,Tropic,Absence,Absence,Colocasia,Araceae,Alismatales
Colocasia_esculenta,fleshy,herb,Absence,Temperate,Absence,Colocasia,Araceae,Alismatales
Remusatia_pumila,fleshy,herb,Tropic,Temperate,Subtropic,Remusatia,Araceae,Alismatales
Remusatia_hookeriana,fleshy,herb,Tropic,Temperate,Subtropic,Remusatia,Araceae,Alismatales
Colocasia_antiquorum,fleshy,herb,Absence,Temperate,Subtropic,Colocasia,Araceae,Alismatales
Remusatia_vivipara,fleshy,herb,Tropic,Absence,Subtropic,Remusatia,Araceae,Alismatales
Alocasia_longiloba,fleshy,herb,Tropic,Absence,Absence,Alocasia,Araceae,Alismatales
